locus_tag	Lygos_24_1A	Lygos_24_1B	Lygos_24_2A	Lygos_24_2B	Lygos_48_1A	Lygos_48_1B	Lygos_48_2A	Lygos_48_2B
BOH78_2149	10.0	8.0	13.0	11.0	10.0	13.0	13.0	13.0
BOH78_2148	2.0	1.0	5.0	5.0	2.0	2.0	1.0	1.0
BOH78_2125		1.0					1.0	1.0
BOH78_2127			2.0		1.0		1.0	
BOH78_2126	5.0	2.0	4.0	6.0	3.0	6.0	6.0	4.0
BOH78_2121	36.0	28.0	33.0	26.0	27.0	26.0	33.0	26.0
BOH78_2120	12.0	10.0	11.0	10.0	17.0	10.0	5.0	10.0
BOH78_2122					1.0			
BOH78_2046	2.0	2.0	3.0	2.0	3.0	1.0	3.0	1.0
BOH78_2047	3.0	1.0	5.0	1.0	2.0	1.0	4.0	1.0
BOH78_2044					1.0			
BOH78_2045	3.0	3.0	1.0	4.0	4.0	2.0	2.0	3.0
BOH78_2043	22.0	23.0	18.0	21.0	20.0	15.0	23.0	25.0
BOH78_2048	18.0	21.0	14.0	30.0	13.0	15.0	13.0	19.0
BOH78_2049	5.0	5.0	10.0	6.0	5.0	1.0	9.0	5.0
BOH78_2103	1.0		1.0		1.0	2.0		2.0
BOH78_2102	9.0	7.0	6.0	10.0	5.0	6.0	6.0	10.0
BOH78_2101	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0
BOH78_2100	25.0	35.0	45.0	46.0	15.0	23.0	36.0	34.0
BOH78_2105	4.0	5.0	5.0	5.0	5.0	4.0	5.0	8.0
BOH78_2109	2.0	3.0	6.0	3.0	3.0	3.0	5.0	4.0
BOH78_2108					2.0		12.0	
BOH78_2068	1.0							
BOH78_2064		1.0		1.0	4.0			1.0
BOH78_2065	1.0							
BOH78_2066	17.0	17.0	23.0	20.0	16.0	13.0	21.0	16.0
BOH78_2067	1.0		2.0	2.0	1.0	1.0	3.0	1.0
BOH78_2060	8.0	7.0	10.0	5.0	6.0	3.0	5.0	9.0
BOH78_2061	2.0	1.0	1.0	2.0	2.0	1.0	2.0	
BOH78_2062	9.0	9.0	6.0	7.0	4.0	10.0	5.0	7.0
BOH78_2083	26.0	16.0	27.0	22.0	25.0	16.0	16.0	19.0
BOH78_2080	38.0	34.0	35.0	42.0	41.0	30.0	33.0	38.0
BOH78_2086	10.0	1.0	7.0	8.0	13.0	9.0	3.0	3.0
BOH78_2084					1.0	1.0		
BOH78_2085	44.0	38.0	49.0	49.0	47.0	33.0	42.0	40.0
BOH78_2088	1.0	1.0	3.0	2.0		1.0	2.0	3.0
BOH78_2230								1.0
BOH78_2232	6.0	7.0	12.0	11.0	14.0	5.0	7.0	15.0
BOH78_2216	1.0	1.0			1.0			
BOH78_2215	25.0	26.0	27.0	30.0	31.0	31.0	22.0	29.0
BOH78_2214	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
BOH78_2213	5.0	5.0	6.0	4.0	2.0	3.0	6.0	4.0
BOH78_2212		1.0			2.0	2.0	1.0	1.0
BOH78_2210	1.0	1.0	1.0	1.0				
BOH78_2219	21.0	21.0	16.0	23.0	20.0	19.0	15.0	21.0
BOH78_2195	1.0	1.0	1.0	2.0	1.0	2.0	3.0	1.0
BOH78_2196	17.0	14.0	16.0	18.0	14.0	15.0	14.0	15.0
BOH78_2197			1.0	1.0				
BOH78_2190	1.0	1.0	2.0	2.0	2.0		1.0	3.0
BOH78_2172	11.0	10.0	11.0	8.0	13.0	9.0	12.0	7.0
BOH78_2173	50.0	49.0	60.0	53.0	49.0	35.0	33.0	43.0
BOH78_2170		2.0		1.0		2.0	1.0	
BOH78_2171	2.0	3.0	2.0	1.0	7.0	4.0	2.0	2.0
BOH78_2176	2.0	4.0	1.0		1.0		1.0	1.0
BOH78_2174	5.0	6.0	9.0	6.0	7.0	5.0	12.0	7.0
BOH78_2175	2.0	2.0	3.0	3.0	4.0	2.0	2.0	4.0
BOH78_2178	27.0	22.0	27.0	25.0	22.0	19.0	21.0	27.0
BOH78_2159			1.0					
BOH78_2150	45.0	40.0	36.0	37.0	50.0	37.0	37.0	34.0
BOH78_2152							1.0	
BOH78_2153	7.0	7.0	8.0	9.0	9.0	6.0	5.0	
BOH78_2156		1.0					1.0	1.0
BOH78_2157	9.0	11.0	14.0	11.0	6.0	5.0	15.0	6.0
BOH78_2054	2.0	4.0	5.0	3.0	8.0	4.0	2.0	3.0
BOH78_2057	2.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0
BOH78_2056	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0
BOH78_2050	1.0		2.0					1.0
BOH78_2053				2.0				1.0
BOH78_2052	2.0	3.0	2.0	2.0	1.0	1.0	2.0	1.0
BOH78_2059						1.0		
BOH78_2058				4.0	2.0	2.0		1.0
BOH78_2138	1.0							1.0
BOH78_2139	2.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0
BOH78_2137	8.0	6.0	14.0	7.0	9.0	5.0	14.0	7.0
BOH78_2134	8.0	9.0	7.0	7.0	11.0	8.0	7.0	5.0
BOH78_2132				1.0		1.0	1.0	
BOH78_2133	4.0	2.0	3.0	6.0	5.0	4.0	5.0	3.0
BOH78_2079							1.0	
BOH78_2078	1.0	2.0	1.0	2.0	1.0		1.0	
BOH78_2073	15.0	12.0	23.0	16.0	12.0	11.0	23.0	19.0
BOH78_2072	9.0	6.0	5.0	4.0	6.0	4.0	5.0	6.0
BOH78_2077	4.0	1.0	4.0	1.0	5.0	3.0	3.0	3.0
BOH78_2075	2.0	1.0	1.0	1.0	2.0	2.0	2.0	
BOH78_2074					1.0			
BOH78_2114	20.0	20.0	21.0	24.0	14.0	11.0	18.0	22.0
BOH78_2116	15.0	15.0	15.0	15.0	15.0	13.0	12.0	15.0
BOH78_2110					1.0		1.0	
BOH78_2111	1.0				1.0	1.0	2.0	
BOH78_2112	4.0	2.0	4.0	5.0	3.0	1.0	2.0	1.0
BOH78_2118		1.0	1.0		1.0			1.0
BOH78_2119			1.0					
BOH78_2090			1.0				1.0	1.0
BOH78_2093	10.0	7.0	10.0	10.0	7.0	8.0	11.0	8.0
BOH78_2095					1.0		2.0	
BOH78_2094	14.0	14.0	18.0	15.0	15.0	14.0	20.0	17.0
BOH78_2097		2.0	4.0	4.0	3.0	2.0	5.0	3.0
BOH78_2096			1.0		1.0	2.0	4.0	
BOH78_2099		1.0					1.0	
BOH78_2098	3.0	2.0	5.0	5.0	5.0	3.0	4.0	6.0
BOH78_1948	4.0	4.0	3.0	4.0	8.0	1.0	6.0	3.0
BOH78_1949					1.0			
BOH78_1940						1.0		
BOH78_1947				1.0				
BOH78_1944			1.0					1.0
BOH78_1961	9.0	12.0	10.0	11.0	6.0	13.0	5.0	12.0
BOH78_1962		1.0	5.0	5.0	2.0	1.0	2.0	2.0
BOH78_1963	40.0	43.0	40.0	45.0	34.0	48.0	47.0	47.0
BOH78_1965					1.0	1.0	1.0	1.0
BOH78_1967		1.0		1.0	3.0	1.0		1.0
BOH78_1968	1.0	2.0	3.0	1.0	1.0			
BOH78_1969	4.0	1.0	2.0	1.0	2.0	2.0	2.0	
BOH78_1906	7.0	5.0	8.0	11.0	5.0	5.0	12.0	7.0
BOH78_1904	6.0	5.0	5.0	7.0	6.0	6.0	6.0	6.0
BOH78_1905	4.0	4.0	8.0	10.0	8.0	4.0	9.0	9.0
BOH78_1903			1.0		2.0	2.0	1.0	
BOH78_1900	7.0	5.0	6.0	7.0	6.0	7.0	6.0	3.0
BOH78_1901	6.0	7.0	13.0	6.0	10.0	6.0	7.0	7.0
BOH78_1928	3.0	5.0	5.0	4.0	2.0	3.0	5.0	3.0
BOH78_1929	4.0	4.0	3.0	3.0	6.0	2.0	3.0	1.0
BOH78_1924	28.0	22.0	23.0	22.0	25.0	19.0	18.0	17.0
BOH78_1925		2.0	3.0	4.0	1.0	2.0	2.0	1.0
BOH78_1926			1.0					
BOH78_1927		1.0	1.0		1.0		3.0	
BOH78_1920							1.0	
BOH78_1921				1.0				
BOH78_1922	1.0		1.0	1.0	1.0		2.0	
BOH78_1923	16.0	21.0	18.0	17.0	12.0	16.0	5.0	4.0
BOH78_1988	12.0	10.0	18.0	20.0	12.0	14.0	15.0	25.0
BOH78_1989	1.0	2.0	3.0	1.0	2.0	3.0	1.0	1.0
BOH78_1986	27.0	24.0	32.0	31.0	37.0	24.0	23.0	22.0
BOH78_1987	2.0	3.0	2.0	3.0	1.0	1.0	3.0	3.0
BOH78_1985	18.0	21.0	18.0	21.0	24.0	13.0	21.0	14.0
BOH78_1982	47.0	58.0	51.0	49.0	55.0	44.0	47.0	51.0
BOH78_1983	35.0	28.0	24.0	24.0	32.0	35.0	27.0	29.0
BOH78_1980	17.0	10.0	13.0	8.0	12.0	11.0	9.0	8.0
BOH78_2008	1.0	1.0	2.0	4.0	3.0	2.0	3.0	2.0
BOH78_2000			3.0	1.0			1.0	1.0
BOH78_2001	23.0	23.0	27.0	24.0	22.0	14.0	24.0	24.0
BOH78_2006	4.0	2.0	4.0	2.0	7.0	4.0	4.0	3.0
BOH78_2007	4.0	5.0	3.0	4.0	5.0	5.0	2.0	3.0
BOH78_2004				1.0				
BOH78_2021	4.0	2.0	4.0	5.0	2.0	1.0	2.0	1.0
BOH78_2022	5.0	6.0	5.0	4.0	5.0	4.0	4.0	3.0
BOH78_2023		1.0	1.0		2.0		2.0	1.0
BOH78_2024	1.0		3.0	2.0	4.0			1.0
BOH78_2027		2.0				3.0		
BOH78_2028	11.0	7.0	8.0	9.0	7.0	6.0	10.0	9.0
BOH78_2029	2.0	5.0	4.0	8.0	4.0	2.0	4.0	5.0
BOH78_1833	10.0	14.0	20.0	17.0	6.0	12.0	16.0	
BOH78_2040	7.0	6.0	9.0	10.0	4.0	5.0	14.0	9.0
BOH78_1877			2.0			1.0		
BOH78_1874					1.0			
BOH78_1875					1.0			
BOH78_1872	9.0	8.0	14.0	7.0	14.0	13.0	13.0	17.0
BOH78_1873	18.0	21.0	19.0	20.0	13.0	16.0	16.0	16.0
BOH78_1870	1.0	1.0	1.0		1.0	1.0	1.0	1.0
BOH78_1878	5.0	4.0	4.0	3.0	3.0	2.0	2.0	3.0
BOH78_1879	2.0	2.0		1.0	2.0	2.0	2.0	1.0
BOH78_1858			1.0	1.0			2.0	2.0
BOH78_1859	4.0	5.0	4.0	3.0	2.0	3.0	3.0	5.0
BOH78_1854	16.0	12.0	17.0	16.0	12.0	11.0	22.0	14.0
BOH78_1855	20.0	18.0	21.0	19.0	17.0	16.0	24.0	17.0
BOH78_1857	1.0							
BOH78_1851	1.0	2.0	2.0	2.0	3.0	3.0	1.0	1.0
BOH78_1852	13.0	13.0	14.0	17.0	17.0	10.0	12.0	12.0
BOH78_1853	5.0	5.0	11.0	5.0	4.0	2.0	10.0	8.0
BOH78_1958					1.0			
BOH78_1951	7.0	5.0	5.0	2.0	5.0	3.0	4.0	2.0
BOH78_1953	2.0	2.0	3.0	2.0	4.0	2.0	1.0	3.0
BOH78_1955	1.0				1.0	1.0		
BOH78_1954	10.0	13.0	13.0	11.0	11.0	13.0	18.0	13.0
BOH78_1956	10.0	5.0	9.0	8.0	12.0	9.0	11.0	7.0
BOH78_1898	8.0	4.0	11.0	10.0	6.0	6.0	7.0	7.0
BOH78_1890	18.0	15.0	26.0	22.0	21.0	15.0	22.0	23.0
BOH78_1891			3.0	1.0			1.0	
BOH78_1894		1.0	2.0		1.0	1.0	1.0	
BOH78_1895		2.0			1.0			
BOH78_1896							1.0	
BOH78_1979	2.0	1.0	3.0	3.0	2.0	2.0	2.0	2.0
BOH78_1977	9.0	7.0	12.0	16.0	6.0	4.0	8.0	15.0
BOH78_1976	1.0							
BOH78_1975				1.0				
BOH78_1974	1.0	3.0	1.0	1.0	2.0	1.0	3.0	1.0
BOH78_1973	1.0	1.0	1.0					
BOH78_1972	2.0	3.0	6.0	1.0	5.0	3.0	5.0	2.0
BOH78_1971	1.0	2.0	4.0	5.0	5.0	3.0	4.0	2.0
BOH78_1917			1.0					
BOH78_1910	7.0	8.0	8.0	6.0	11.0	8.0	14.0	8.0
BOH78_1913			1.0	1.0			1.0	1.0
BOH78_1912	29.0	23.0	1.0	4.0	25.0	18.0	13.0	12.0
BOH78_1918	12.0	11.0	12.0	12.0	10.0	13.0	9.0	13.0
BOH78_1939	1.0	1.0		1.0	1.0	1.0	1.0	1.0
BOH78_1938	22.0	18.0	13.0	24.0	24.0	20.0	16.0	24.0
BOH78_1933	7.0	9.0	10.0	8.0	5.0	8.0	4.0	10.0
BOH78_1932	6.0	3.0	10.0	6.0	6.0	7.0		6.0
BOH78_1931	12.0	9.0	10.0	10.0	8.0	6.0	10.0	9.0
BOH78_1937	3.0	3.0	1.0	1.0		1.0	2.0	1.0
BOH78_1936			1.0					
BOH78_1934			1.0				1.0	
BOH78_1999	1.0		1.0					
BOH78_1998	27.0	33.0	28.0	32.0	29.0	27.0	19.0	29.0
BOH78_1995							2.0	
BOH78_1996		1.0	2.0	2.0				
BOH78_1991	3.0	4.0		4.0	3.0	2.0	1.0	2.0
BOH78_1990	3.0	2.0	3.0	3.0	4.0	3.0	4.0	4.0
BOH78_1993	14.0	12.0	10.0	13.0	13.0	11.0	13.0	15.0
BOH78_1992	1.0	1.0	3.0	2.0	1.0	1.0	4.0	1.0
BOH78_2019	26.0	21.0	24.0	21.0	31.0	22.0	18.0	22.0
BOH78_2011	1.0	1.0	1.0	1.0				
BOH78_2013	1.0		1.0	1.0	2.0	1.0		
BOH78_2012		1.0	1.0	1.0	1.0			
BOH78_2015	56.0	46.0	65.0	50.0	54.0	36.0	50.0	47.0
BOH78_2014	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0
BOH78_2017		1.0	1.0	1.0	1.0	1.0	1.0	
BOH78_2016	1.0	3.0	3.0	5.0	1.0	2.0	4.0	5.0
BOH78_2037	18.0	14.0	11.0	18.0	15.0	11.0	10.0	10.0
BOH78_2036	3.0	1.0	5.0	4.0	6.0	2.0	7.0	4.0
BOH78_2033	2.0	1.0	2.0	1.0			1.0	1.0
BOH78_2032	1.0	1.0	2.0	2.0	1.0	1.0	4.0	1.0
BOH78_1864	17.0	14.0	21.0	14.0	19.0	9.0	16.0	13.0
BOH78_1861	6.0	6.0	9.0	5.0	5.0	8.0	3.0	7.0
BOH78_1860	3.0	1.0	4.0	4.0	6.0	3.0	1.0	
BOH78_1862	26.0	24.0	26.0	26.0	25.0	26.0	28.0	21.0
BOH78_1869	9.0	10.0	13.0	9.0	10.0	7.0	11.0	14.0
BOH78_1868	2.0	1.0	3.0	1.0	1.0	1.0	2.0	
BOH78_1849	4.0	6.0	4.0	4.0	7.0	5.0	5.0	3.0
BOH78_1842	2.0	1.0	1.0	1.0	1.0	4.0		2.0
BOH78_1841	20.0	13.0	12.0	11.0	25.0	14.0	13.0	10.0
BOH78_1840	5.0	3.0	5.0	7.0	5.0	6.0	3.0	3.0
BOH78_1844	8.0	6.0	11.0	7.0	8.0	7.0	15.0	8.0
BOH78_1887			1.0	1.0			1.0	
BOH78_1886	1.0	1.0	3.0	2.0	4.0	1.0	2.0	
BOH78_1885	46.0	43.0	40.0	39.0	49.0	46.0	31.0	35.0
BOH78_1884	4.0	4.0	2.0	2.0	2.0	1.0	1.0	1.0
BOH78_1883	1.0	4.0	3.0	2.0	3.0	4.0	3.0	1.0
BOH78_1888	1.0						1.0	
BOH78_1717	1.0		1.0					
BOH78_1716	3.0	4.0	6.0	4.0	6.0	3.0	4.0	5.0
BOH78_1715							1.0	
BOH78_1714			2.0				3.0	
BOH78_1713	4.0	3.0	8.0	7.0	5.0	4.0	6.0	3.0
BOH78_1711	1.0							1.0
BOH78_1710				1.0			1.0	
BOH78_1719	5.0	5.0	7.0	6.0	8.0	5.0	7.0	4.0
BOH78_1718	22.0	19.0	24.0	23.0	22.0	21.0	13.0	22.0
BOH78_1779	1.0	2.0	1.0	2.0	2.0	1.0	1.0	
BOH78_1778				1.0	2.0			
BOH78_1777	1.0	3.0		1.0	1.0	1.0	1.0	
BOH78_1776	1.0	2.0	4.0	2.0	1.0	1.0	2.0	1.0
BOH78_1770	7.0	4.0	11.0	11.0	12.0	7.0	12.0	8.0
BOH78_1753	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0
BOH78_1750	1.0	1.0		1.0	1.0	1.0		1.0
BOH78_1754	25.0	20.0	30.0	26.0	23.0	19.0	23.0	21.0
BOH78_1759	15.0	17.0	17.0	23.0	12.0	11.0	15.0	23.0
BOH78_1758	19.0	18.0	18.0	18.0	14.0	18.0	11.0	18.0
BOH78_1688	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0
BOH78_1681	18.0	17.0	20.0	15.0	21.0	16.0	22.0	20.0
BOH78_1683		1.0	2.0	1.0	2.0	1.0	1.0	1.0
BOH78_1682	6.0	5.0	10.0	9.0	5.0	6.0	7.0	8.0
BOH78_1684			7.0	2.0	1.0	2.0	5.0	6.0
BOH78_1686		1.0	1.0				1.0	
BOH78_1579	9.0	8.0	9.0	14.0	12.0	9.0	6.0	4.0
BOH78_1578	9.0	11.0	10.0	8.0	9.0	8.0	8.0	8.0
BOH78_1577	3.0	1.0	4.0	4.0	5.0	4.0	1.0	3.0
BOH78_1576			1.0	2.0			2.0	
BOH78_1603	11.0	11.0	11.0	9.0	9.0	11.0	11.0	10.0
BOH78_1602	4.0	2.0	2.0	3.0	4.0	1.0	4.0	6.0
BOH78_1605	71.0	52.0	47.0	54.0	60.0	55.0	48.0	57.0
BOH78_1604	18.0	17.0	23.0	21.0	18.0	25.0	16.0	16.0
BOH78_1607	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0
BOH78_1609			1.0			1.0		
BOH78_1608	2.0	1.0	1.0	1.0				1.0
BOH78_1590	8.0	6.0	7.0	5.0	9.0	4.0	6.0	4.0
BOH78_1593	2.0	4.0	3.0	6.0	6.0	4.0	3.0	1.0
BOH78_1592	4.0	4.0	8.0	7.0	5.0	4.0	4.0	3.0
BOH78_1595	6.0	6.0	5.0	5.0	8.0	4.0	10.0	5.0
BOH78_1597	1.0	2.0	8.0	5.0	5.0	4.0	8.0	5.0
BOH78_1599	1.0	1.0	1.0		1.0			
BOH78_1627	6.0	1.0	2.0	3.0	1.0	1.0		2.0
BOH78_1626	1.0	1.0	2.0	2.0	2.0			1.0
BOH78_1625				1.0				
BOH78_1624				1.0			1.0	
BOH78_1623			2.0	2.0				1.0
BOH78_1622	29.0	24.0	26.0	29.0	25.0	22.0	19.0	26.0
BOH78_1621		1.0	1.0	2.0	2.0	1.0	1.0	
BOH78_1620		1.0	5.0	4.0			3.0	
BOH78_1629		1.0			2.0	1.0		
BOH78_1628	7.0	6.0	9.0	10.0	6.0	5.0	11.0	8.0
BOH78_1813		1.0	1.0	1.0		1.0	1.0	
BOH78_1814	2.0	2.0	6.0	5.0	4.0	2.0	4.0	4.0
BOH78_1815	7.0	6.0	6.0	5.0	7.0	6.0	7.0	5.0
BOH78_1816	4.0	5.0	9.0	12.0			5.0	5.0
BOH78_1817	2.0	2.0	3.0	2.0	1.0	4.0	3.0	2.0
BOH78_1818			1.0					
BOH78_1819	1.0		3.0	1.0	1.0	1.0		2.0
BOH78_1645	8.0	10.0	15.0	13.0	13.0	8.0	8.0	10.0
BOH78_1644					1.0	1.0		
BOH78_1641	2.0	1.0	2.0	1.0	1.0	1.0	1.0	
BOH78_1780	8.0	8.0	8.0	9.0	10.0	7.0	9.0	7.0
BOH78_1782	24.0	20.0	24.0	22.0	27.0	21.0	25.0	16.0
BOH78_1783	1.0	2.0	1.0	2.0	3.0	2.0	1.0	1.0
BOH78_1784		1.0	2.0	1.0	1.0		1.0	1.0
BOH78_1663	99.0	85.0	97.0	86.0	106.0	99.0	96.0	85.0
BOH78_1660		1.0		1.0				
BOH78_1667	21.0	24.0	24.0	21.0	23.0	19.0	28.0	27.0
BOH78_1665	7.0	7.0	4.0	4.0	6.0	6.0	5.0	6.0
BOH78_1664	2.0	2.0	4.0	4.0	1.0	2.0	4.0	1.0
BOH78_1669	4.0	5.0	3.0	3.0	4.0	5.0	4.0	3.0
BOH78_1723	1.0	3.0	1.0	4.0	1.0	1.0		
BOH78_1727	1.0	1.0	2.0		1.0	1.0	2.0	
BOH78_1725			1.0					
BOH78_1729	1.0		4.0	2.0	1.0		1.0	
BOH78_1708						1.0		
BOH78_1709	2.0	2.0			3.0	1.0		3.0
BOH78_1700	1.0					1.0		1.0
BOH78_1701		1.0					2.0	
BOH78_1702	2.0	2.0	1.0	3.0	2.0	2.0	2.0	1.0
BOH78_1703	1.0		1.0	1.0	1.0		1.0	
BOH78_1704	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
BOH78_1705	1.0	1.0	1.0	1.0	2.0	2.0	2.0	
BOH78_1706	1.0		5.0	2.0	2.0		4.0	1.0
BOH78_1757	59.0	59.0	63.0	67.0	69.0	54.0	57.0	54.0
BOH78_1768	2.0	2.0	5.0	2.0	1.0		2.0	
BOH78_1769	1.0	1.0	2.0					1.0
BOH78_1767					2.0			
BOH78_1764	3.0	2.0	4.0	4.0	3.0	4.0	2.0	1.0
BOH78_1765	3.0	1.0	4.0	2.0	5.0	2.0		
BOH78_1762	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
BOH78_1760	2.0	2.0	2.0	1.0	3.0	2.0	1.0	1.0
BOH78_1761	29.0	22.0	26.0	25.0	37.0	20.0	16.0	21.0
BOH78_1745			1.0	1.0	1.0		1.0	
BOH78_1747	28.0	22.0	24.0	22.0	25.0	21.0	16.0	15.0
BOH78_1740	1.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0
BOH78_1741	1.0	2.0	3.0	1.0	2.0	1.0	3.0	2.0
BOH78_1742	5.0	2.0	7.0	3.0	6.0	1.0	1.0	4.0
BOH78_1743	2.0	1.0	3.0	1.0	3.0	2.0	2.0	1.0
BOH78_1748					1.0			
BOH78_1749	2.0	2.0	6.0	4.0	6.0	1.0	3.0	1.0
BOH78_1699	20.0	12.0	23.0	25.0	16.0	17.0	23.0	21.0
BOH78_1692	3.0	1.0	3.0		4.0	1.0		
BOH78_1690	4.0	4.0	7.0	6.0	4.0	4.0	4.0	2.0
BOH78_1691		1.0	2.0	2.0	1.0	1.0	5.0	1.0
BOH78_1697	24.0	18.0	27.0	26.0	27.0	17.0	16.0	15.0
BOH78_1694		1.0						
BOH78_1695	1.0							
BOH78_1829		1.0		2.0	2.0			2.0
BOH78_1828	7.0	3.0	5.0	5.0	4.0	4.0	7.0	6.0
BOH78_1821	1.0		1.0			2.0		
BOH78_1820							2.0	
BOH78_1825	32.0	27.0	25.0	21.0	32.0	30.0	28.0	23.0
BOH78_1613			1.0	1.0				
BOH78_1610		1.0						
BOH78_1617	1.0	1.0						
BOH78_1614	14.0	13.0	13.0	12.0	18.0	11.0	13.0	10.0
BOH78_1619	17.0	14.0	10.0	18.0	14.0	13.0	10.0	19.0
BOH78_1582	1.0	2.0	1.0	1.0		1.0		
BOH78_1583	1.0	2.0	1.0	2.0	1.0		3.0	
BOH78_1580	3.0	2.0	5.0	2.0	2.0		4.0	3.0
BOH78_1581					2.0			
BOH78_1587	17.0	16.0	19.0	15.0	16.0	13.0	17.0	24.0
BOH78_1584	5.0	4.0	4.0	3.0	4.0	2.0	4.0	4.0
BOH78_1585	37.0	32.0	33.0	36.0	39.0	31.0	30.0	28.0
BOH78_1588	14.0	11.0	12.0	11.0	14.0	12.0	11.0	18.0
BOH78_1589	8.0	7.0	12.0	11.0	7.0	6.0	14.0	9.0
BOH78_1809			2.0	1.0				
BOH78_1805	1.0	1.0		1.0				
BOH78_1804	6.0	6.0	6.0	7.0	6.0	5.0	6.0	6.0
BOH78_1803					1.0			
BOH78_1802	23.0	20.0	13.0	16.0	22.0	22.0	14.0	17.0
BOH78_1801	30.0	26.0	39.0	20.0	32.0	28.0	38.0	32.0
BOH78_1630	20.0	21.0	15.0	14.0	17.0	14.0	18.0	17.0
BOH78_1631	11.0	10.0	11.0	5.0	8.0	4.0	11.0	5.0
BOH78_1632							1.0	
BOH78_1634			1.0					
BOH78_1635	6.0	5.0	12.0	8.0	3.0	5.0	6.0	8.0
BOH78_1636		1.0	1.0	5.0	1.0		1.0	1.0
BOH78_1637	5.0	2.0	3.0	4.0	4.0	4.0	5.0	3.0
BOH78_1799					1.0			
BOH78_1798	1.0	1.0	2.0		2.0	1.0	2.0	
BOH78_1797	4.0	3.0	6.0	6.0	6.0	5.0	7.0	4.0
BOH78_1796	1.0			1.0				
BOH78_1795	5.0	2.0	6.0	5.0	3.0	2.0	7.0	4.0
BOH78_1794	2.0		2.0	3.0	3.0		2.0	2.0
BOH78_1793	23.0	18.0	28.0	20.0	23.0	12.0	17.0	16.0
BOH78_1792					1.0			
BOH78_1791	2.0	2.0	3.0	1.0		1.0	8.0	2.0
BOH78_1790	3.0	2.0	3.0	3.0	1.0	2.0	1.0	2.0
BOH78_1658			2.0					1.0
BOH78_1656				1.0				
BOH78_1657	1.0					1.0		
BOH78_1653							1.0	
BOH78_1674	9.0	10.0	9.0	11.0	5.0	10.0	6.0	10.0
BOH78_1677	5.0	8.0	9.0	7.0	11.0	10.0	11.0	8.0
BOH78_1670	4.0	5.0	5.0	7.0	4.0	6.0	5.0	6.0
BOH78_1673	5.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0
BOH78_1730			1.0	1.0	2.0		1.0	1.0
BOH78_1735	3.0	5.0	5.0	3.0	2.0	3.0	4.0	1.0
BOH78_1734	1.0		2.0	3.0	2.0		2.0	3.0
BOH78_1737	24.0	24.0	29.0	25.0	30.0	30.0	29.0	25.0
BOH78_1736	8.0	7.0	9.0	7.0	7.0	7.0	5.0	9.0
BOH78_1738	1.0							
BOH78_1317	1.0	1.0	2.0	2.0	5.0	1.0	3.0	3.0
BOH78_1368						1.0		
BOH78_1369							1.0	
BOH78_1362	1.0	2.0	1.0	1.0	2.0		2.0	
BOH78_1363	2.0	3.0	5.0	3.0	6.0	3.0	2.0	4.0
BOH78_1361	14.0	12.0	16.0	11.0	17.0	14.0	17.0	13.0
BOH78_1366		1.0						
BOH78_1367	1.0		1.0	1.0	4.0	2.0		
BOH78_1364	33.0	32.0	31.0	30.0	33.0	26.0	23.0	33.0
BOH78_1365	2.0		3.0	1.0	8.0	2.0	4.0	1.0
BOH78_1343	3.0	3.0	7.0	5.0	4.0	2.0	12.0	11.0
BOH78_1344		1.0			1.0	1.0		
BOH78_1345						2.0		
BOH78_1348	1.0				1.0	1.0		
BOH78_1349	196.0	155.0	144.0	169.0	188.0	152.0	108.0	152.0
BOH78_1472					1.0			
BOH78_1473	8.0	9.0	9.0	7.0	3.0	5.0	8.0	11.0
BOH78_1470	1.0							
BOH78_1471			1.0	1.0				
BOH78_1326					1.0			
BOH78_1327	4.0	6.0	4.0	5.0	7.0	6.0	7.0	5.0
BOH78_1324	16.0	9.0	10.0	14.0	14.0	13.0	16.0	9.0
BOH78_1322	3.0	2.0	2.0	1.0		1.0		1.0
BOH78_1323			1.0		1.0		1.0	1.0
BOH78_1320	12.0	11.0	8.0	3.0	7.0	10.0		7.0
BOH78_1321	3.0	1.0	4.0	2.0	5.0	1.0	2.0	
BOH78_1328	9.0	4.0	7.0	9.0	3.0	1.0	4.0	4.0
BOH78_1329	4.0	4.0	9.0	6.0	11.0	7.0	7.0	3.0
BOH78_1498	3.0	5.0	5.0	3.0	4.0	2.0	4.0	1.0
BOH78_1494	8.0	5.0	6.0	8.0	8.0	6.0	7.0	6.0
BOH78_1495		1.0	2.0				1.0	
BOH78_1497	14.0	11.0	13.0	13.0	13.0	8.0	11.0	9.0
BOH78_1491	4.0	7.0	9.0	10.0	7.0	6.0	5.0	7.0
BOH78_1519					1.0		1.0	
BOH78_1518					1.0		1.0	
