locus_tag	Lygos_24_1A	Lygos_24_1B	Lygos_24_2A	Lygos_24_2B	Lygos_48_1A	Lygos_48_1B	Lygos_48_2A	Lygos_48_2B
BOH78_3174	21.0	18.0	21.0	17.0	19.0	13.0	23.0	19.0
BOH78_3177	5.0	7.0	8.0	8.0	11.0	3.0	8.0	6.0
BOH78_3176	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0
BOH78_3171	1.0	1.0	1.0	1.0	1.0		1.0	1.0
BOH78_3170	1.0		2.0		1.0	2.0		1.0
BOH78_3173	10.0	10.0	17.0	12.0	8.0	9.0	16.0	15.0
BOH78_3172	7.0	7.0	4.0	5.0	5.0	4.0	1.0	5.0
BOH78_3152	3.0	4.0	4.0	4.0	5.0	4.0	4.0	3.0
BOH78_3157	1.0	1.0	3.0	3.0		3.0	1.0	1.0
BOH78_3154	2.0	1.0		2.0	2.0	2.0	3.0	2.0
BOH78_3159	8.0	8.0	10.0	10.0	8.0	10.0	5.0	12.0
BOH78_3158	14.0	15.0	16.0	13.0	17.0	13.0	17.0	13.0
BOH78_3290	5.0	3.0	6.0	2.0	2.0	2.0	3.0	4.0
BOH78_3291	1.0						1.0	
BOH78_3262			1.0	1.0				
BOH78_3272	7.0	3.0	12.0	5.0	11.0	2.0	6.0	7.0
BOH78_3273	17.0	15.0	10.0	11.0	17.0	12.0	6.0	9.0
BOH78_3271	1.0	1.0	3.0	2.0	2.0	2.0	3.0	1.0
BOH78_3277	5.0	4.0	9.0	6.0	4.0	5.0	5.0	6.0
BOH78_3274	7.0	1.0	5.0	4.0	3.0	3.0	4.0	6.0
BOH78_3275	43.0	44.0	48.0	44.0	52.0	46.0	37.0	36.0
BOH78_3278	3.0	1.0	5.0	4.0	3.0		3.0	3.0
BOH78_3279	2.0	2.0	3.0	1.0	3.0	1.0	3.0	3.0
BOH78_3258	18.0	19.0	24.0	21.0	20.0	19.0	28.0	21.0
BOH78_3250	16.0	20.0	17.0	11.0	18.0	15.0	15.0	14.0
BOH78_3251						1.0		
BOH78_3253								1.0
BOH78_3254	4.0	3.0	4.0	6.0	4.0	4.0	3.0	4.0
BOH78_3259	44.0	37.0	48.0	49.0	46.0	38.0	50.0	55.0
BOH78_3256	25.0	19.0	25.0	24.0	20.0	14.0	17.0	20.0
BOH78_3238		1.0	1.0	1.0	2.0	2.0	1.0	2.0
BOH78_3239	4.0	4.0	8.0	9.0	4.0	2.0	7.0	11.0
BOH78_3237		1.0	3.0	2.0	1.0	2.0		
BOH78_3234	15.0	12.0	5.0	8.0	12.0	10.0	5.0	5.0
BOH78_3232		1.0						
BOH78_3233				1.0				
BOH78_3231	68.0	42.0	69.0	55.0	42.0	38.0	47.0	34.0
BOH78_3214			1.0					
BOH78_3215	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0
BOH78_3211			2.0	1.0			2.0	1.0
BOH78_3212		2.0	1.0	2.0	2.0	1.0		1.0
BOH78_3213	5.0	3.0	4.0	6.0	4.0	6.0	1.0	5.0
BOH78_3219	6.0	8.0	9.0	11.0	9.0	8.0	12.0	9.0
BOH78_3181	11.0	13.0	10.0	15.0	11.0	10.0	5.0	11.0
BOH78_3182	8.0	5.0	4.0	5.0	7.0	6.0	4.0	3.0
BOH78_3185	10.0	6.0	10.0	7.0	4.0	5.0	8.0	7.0
BOH78_3186	29.0	29.0	26.0	30.0	25.0	27.0	26.0	24.0
BOH78_3187	7.0	2.0	8.0	7.0	6.0	5.0	5.0	6.0
BOH78_3188			1.0					
BOH78_3189	40.0	41.0	44.0	30.0	37.0	45.0	36.0	42.0
BOH78_3202	1.0	1.0	1.0	3.0	3.0	1.0	3.0	1.0
BOH78_3168	3.0	3.0	4.0	1.0	3.0	3.0	3.0	2.0
BOH78_3169	2.0	2.0	3.0	1.0	1.0	2.0	2.0	1.0
BOH78_3167	11.0	10.0	14.0	13.0	14.0	10.0	11.0	13.0
BOH78_3164	1.0		1.0	1.0			1.0	1.0
BOH78_3165	16.0	12.0	11.0	11.0	20.0	16.0	7.0	7.0
BOH78_3162	1.0		2.0	1.0	5.0	1.0	3.0	2.0
BOH78_3161	11.0	7.0	10.0	8.0	6.0	7.0	9.0	7.0
BOH78_3282	1.0		4.0	3.0	1.0		1.0	3.0
BOH78_3281	6.0	4.0	6.0	6.0	7.0	3.0	9.0	6.0
BOH78_3287	38.0	27.0	29.0	31.0	28.0	25.0	17.0	33.0
BOH78_3286	2.0	1.0	1.0	1.0	1.0			
BOH78_3261	1.0	1.0	1.0	1.0	1.0		2.0	1.0
BOH78_3260	1.0	1.0	3.0	1.0	2.0	2.0	2.0	
BOH78_3264	8.0	10.0	8.0	9.0	5.0	8.0	8.0	8.0
BOH78_3269					1.0			
BOH78_3268	11.0	11.0	13.0	9.0	9.0	8.0	6.0	15.0
BOH78_3288	33.0	30.0	28.0	22.0	33.0	32.0	37.0	22.0
BOH78_3284	3.0	1.0	2.0	1.0	3.0	1.0		
BOH78_3246	7.0	6.0	4.0	3.0	5.0	5.0	8.0	5.0
BOH78_3245	1.0	1.0	1.0					
BOH78_3244				1.0		1.0		
BOH78_3243							1.0	
BOH78_3241	1.0		2.0	3.0	7.0	3.0	1.0	2.0
BOH78_3240	6.0	7.0	8.0	7.0	2.0	2.0	8.0	5.0
BOH78_3249	1.0				1.0			1.0
BOH78_3248	6.0	5.0	6.0	5.0	10.0	5.0	4.0	5.0
BOH78_3228			4.0	2.0				
BOH78_3225	17.0	23.0	18.0	21.0	22.0	14.0	18.0	24.0
BOH78_3227	7.0	13.0	10.0	8.0	4.0	11.0	12.0	11.0
BOH78_3226	1.0	1.0	2.0		2.0		2.0	1.0
BOH78_3221	3.0	7.0	6.0	5.0	4.0	6.0	6.0	8.0
BOH78_3220	6.0	2.0	4.0	6.0	5.0	5.0	6.0	5.0
BOH78_3203					1.0		1.0	
BOH78_3201			1.0		1.0		1.0	
BOH78_3200		2.0	1.0	1.0				
BOH78_3205	4.0	2.0	4.0	5.0	7.0	4.0	6.0	5.0
BOH78_3204	26.0	28.0	32.0	26.0	24.0	20.0	34.0	22.0
BOH78_3209					1.0			
BOH78_3208		1.0	2.0	1.0	1.0	4.0		2.0
BOH78_3016	4.0	2.0	8.0	6.0	4.0	2.0	2.0	3.0
BOH78_3017	8.0	9.0	10.0	7.0	11.0	7.0	8.0	8.0
BOH78_3014	101.0	98.0	90.0	92.0	101.0	95.0	75.0	86.0
BOH78_3018	4.0	3.0	6.0	5.0	2.0	7.0	7.0	4.0
BOH78_3038	8.0	5.0	8.0	6.0	11.0	4.0	3.0	4.0
BOH78_3039	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
BOH78_3030		1.0	1.0	1.0				
BOH78_3031	11.0	8.0	14.0	11.0	8.0	8.0	10.0	7.0
BOH78_3032	14.0	14.0	11.0	7.0	11.0	13.0	8.0	10.0
BOH78_3033	4.0	4.0	3.0	4.0	2.0	3.0	5.0	3.0
BOH78_3034				1.0				
BOH78_3035	35.0	33.0	31.0	33.0	41.0	31.0	24.0	27.0
BOH78_3036	3.0	4.0	5.0	6.0	4.0	2.0	3.0	1.0
BOH78_3037							1.0	
BOH78_3058	18.0	18.0	24.0	22.0	23.0	21.0	38.0	23.0
BOH78_3056	20.0	20.0	21.0	22.0	25.0	25.0	23.0	18.0
BOH78_3057	4.0	2.0	3.0	3.0	1.0	3.0	1.0	2.0
BOH78_3054	4.0	4.0	5.0	3.0	8.0	4.0	3.0	6.0
BOH78_3052	1.0		1.0					
BOH78_3053	1.0	1.0	1.0	1.0	1.0			
BOH78_3051					1.0			1.0
BOH78_3074				1.0	1.0	1.0	3.0	3.0
BOH78_3076	8.0	8.0	10.0	8.0	6.0	6.0	7.0	10.0
BOH78_3071	29.0	22.0	20.0	22.0	27.0	28.0	31.0	22.0
BOH78_3131					1.0			
BOH78_3130	6.0	6.0	7.0	5.0	6.0	6.0	3.0	5.0
BOH78_3133	3.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0
BOH78_3135						1.0	1.0	1.0
BOH78_3134	27.0	26.0	24.0	21.0	32.0	24.0	15.0	20.0
BOH78_3139	2.0	2.0	4.0	3.0	1.0	2.0	2.0	3.0
BOH78_3138		1.0		1.0				
BOH78_3117	1.0	1.0	8.0	6.0	1.0	1.0	1.0	1.0
BOH78_3115		1.0		1.0		1.0		
BOH78_3110			1.0	2.0	1.0		1.0	1.0
BOH78_3119		1.0	1.0	1.0	1.0			1.0
BOH78_3118			2.0	2.0			3.0	2.0
BOH78_3150	1.0	1.0	2.0	1.0	2.0	1.0	1.0	
BOH78_3089	1.0	1.0	1.0		1.0	2.0	2.0	
BOH78_3088	3.0	2.0	3.0	4.0	5.0	4.0		1.0
BOH78_3080					1.0			
BOH78_3026	1.0	1.0	4.0	2.0			2.0	2.0
BOH78_3025	1.0	1.0	2.0	1.0	2.0	1.0	1.0	
BOH78_3022	2.0	2.0	3.0	2.0	1.0		1.0	1.0
BOH78_3021	1.0		2.0					1.0
BOH78_3029	1.0	1.0		1.0	2.0	1.0	1.0	1.0
BOH78_3028	1.0							
BOH78_3049			1.0					
BOH78_3048	2.0		5.0	1.0		1.0	4.0	1.0
BOH78_3045		1.0	2.0					1.0
BOH78_3044	49.0	36.0	42.0	41.0	44.0	40.0	33.0	35.0
BOH78_3047	4.0	2.0	4.0	3.0	6.0	4.0	4.0	2.0
BOH78_3046	1.0	1.0	4.0	4.0	2.0	2.0	3.0	4.0
BOH78_3041	72.0	58.0	64.0	63.0	44.0	53.0	59.0	52.0
BOH78_3042	1.0			1.0				
BOH78_3063						1.0		
